ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str
GL_DOL_t_katc_relevant_facts_3.5_004;{'gf_tail_expense_category_id'};t_katc_relevant_facts;gf_tail_expense_category_id is not null and gf_tail_expense_category_id != '';['MASTERSCHEMA.CATALOG_TABLE_4'];;CATALOG_COLUMN_4;CATALOG_CODE_4;GL_DOL_t_katc_relevant_facts_3.5_004;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jun_2024;FINISHED;DELIVERED;"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_4: Columna del catálogo local 
     CATALOG_CODE_4: Filtrado del catálogo local
     CATALOG_TABLE_4: Nombre de tabla local
JOB EXTRALIBS:
     extralibs: Link to custom repository";MASTERSCHEMA.CATALOG_TABLE_4
GL_DOL_t_katc_relevant_facts_3.5_005;{'gf_tail_expense_subcategory_id'};t_katc_relevant_facts;gf_tail_expense_subcategory_id is not null and gf_tail_expense_subcategory_id != '';['MASTERSCHEMA.CATALOG_TABLE_5'];;CATALOG_COLUMN_5;CATALOG_CODE_5;GL_DOL_t_katc_relevant_facts_3.5_005;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jun_2024;FINISHED;DELIVERED;"RUNNING JOB PARAMS:
     CUTOFF_DATE: Date of the data
     CATALOG_COLUMN_5: Columna del catálogo local 
     CATALOG_CODE_5: Filtrado del catálogo local
     CATALOG_TABLE_5: Nombre de tabla local

JOB EXTRALIBS:
     extralibs: Link to custom repository";MASTERSCHEMA.CATALOG_TABLE_5
278213f09a;{'gf_detl_recurring_incomes_type'};t_kceg_cust_agg_recurring_income;gf_detl_recurring_incomes_type is not null and gf_detl_recurring_incomes_type != '';['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;278213f09a;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de Null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
27ec9403fa;{'gf_information_source_id'};t_kceg_cust_prod_any_holder;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;27ec9403fa;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
27ec936dae;{'gf_information_source_id'};t_kceg_cust_prod_main_holder;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;27ec936dae;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
28142ab7e5;{'gf_cust_class_quadrant_segment_type'};t_kceg_customer_engagement;gf_cust_class_quadrant_segment_type is not null and gf_cust_class_quadrant_segment_type != '';['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;28142ab7e5;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Distinto de null o vacío;3Q24;Nov_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
27dd4949e1;{'gf_cont_status_vldy_type'};t_kcpg_customer_cust_prod;gf_cont_status_vldy_type is not null and gf_cont_status_vldy_type != '';['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;27dd4949e1;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Si gf_cont_status_vldy_type no es nulo ni vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
27dd455a09;{'gf_goal_status_type'};t_kcpg_customer_invest_goals;gf_goal_status_type is not null and gf_goal_status_type != '';['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;27dd455a09;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;Si gf_goal_status_type no es nulo ni vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
2849d00d5f;{'gf_product_ars'};t_kctd_digital_interaction;gf_product_ars is not null;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;2849d00d5f;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;3Q24;Nov_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_kfcm_cust_fdbk_3.5_000;{'gf_cust_fdbk_scope_name'};t_kfcm_cust_fdbk;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_kfcm_cust_fdbk_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_kfcm_nps_detail_3.5_000;{'gf_question_id'};t_kfcm_nps_detail;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_kfcm_nps_detail_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_kfcm_nps_detail_3.5_001;{'gf_nps_survey_cnsmr_ex_type'};t_kfcm_nps_detail;;['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;GL_DOL_t_kfcm_nps_detail_3.5_001;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
GL_DOL_t_kfcm_nps_detail_3.5_002;{'gf_respodent_answer_id'};t_kfcm_nps_detail;;['MASTERSCHEMA.CATALOG_TABLE_2'];;CATALOG_COLUMN_2;CATALOG_CODE_2;GL_DOL_t_kfcm_nps_detail_3.5_002;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_2
GL_DOL_t_kfcm_nps_sv_respondent_retail_3.5_000;{'gf_rsp_socioeconomic_lvl_type'};t_kfcm_nps_sv_respondent_retail;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_kfcm_nps_sv_respondent_retail_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_kfcm_nps_sv_respondent_smes_3.5_000;{'gf_last_year_co_sales_vol_type'};t_kfcm_nps_sv_respondent_smes;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_kfcm_nps_sv_respondent_smes_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_kfcm_nps_sv_respondent_smes_3.5_001;{'gf_cut_co_econ_activity_id'};t_kfcm_nps_sv_respondent_smes;;['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;GL_DOL_t_kfcm_nps_sv_respondent_smes_3.5_001;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
GL_DOL_t_knfa_energy_certifications_3.5_003;{'gf_energ_cert_sust_type'};t_knfa_energy_certifications;;['MASTERSCHEMA.CATALOG_TABLE_3'];;CATALOG_COLUMN_3;CATALOG_CODE_3;GL_DOL_t_knfa_energy_certifications_3.5_003;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Monthly;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_TABLE_3: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_3
GL_DOL_t_knfa_home_center_3.5_000;{'gf_cadaster_id'};t_knfa_home_center;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_knfa_home_center_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
27b99234d6;{'gf_property_label_type_id'};t_knfa_home_center;gf_property_label_type_id is not null and gf_property_label_type_id != '';['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;27b99234d6;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;Distinto de Null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
27b9923564;{'gf_energy_efficy_label_type_id'};t_knfa_home_center;gf_energy_efficy_label_type_id is not null and gf_energy_efficy_label_type_id != '';['MASTERSCHEMA.CATALOG_TABLE_2'];;CATALOG_COLUMN_2;CATALOG_CODE_2;27b9923564;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;Distinto de Null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_2
GL_DOL_t_knfa_real_estate_favourites_3.5_000;{'gf_cadaster_id'};t_knfa_real_estate_favourites;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_knfa_real_estate_favourites_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_knfa_vehicles_center_3.5_000;{'gf_cust_prch_comm_brand_id'};t_knfa_vehicles_center;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_knfa_vehicles_center_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_knfa_vehicles_center_3.5_001;{'gf_gbl_cntr_vehicle_model_id'};t_knfa_vehicles_center;;['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;GL_DOL_t_knfa_vehicles_center_3.5_001;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
27b99235b6;{'gf_vehicle_eco_label_type_id'};t_knfa_vehicles_center;gf_vehicle_eco_label_type_id is not null and gf_vehicle_eco_label_type_id != '';['MASTERSCHEMA.CATALOG_TABLE_2'];;CATALOG_COLUMN_2;CATALOG_CODE_2;27b99235b6;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;Distinto de Null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_2
GL_DOL_t_knfa_vehicles_favourites_3.5_000;{'gf_cust_prch_comm_brand_id'};t_knfa_vehicles_favourites;;['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;GL_DOL_t_knfa_vehicles_favourites_3.5_000;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
GL_DOL_t_knfa_vehicles_favourites_3.5_001;{'gf_gbl_cntr_vehicle_model_id'};t_knfa_vehicles_favourites;;['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;GL_DOL_t_knfa_vehicles_favourites_3.5_001;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
27b99236d7;{'gf_vehicle_eco_label_type_id'};t_knfa_vehicles_favourites;gf_vehicle_eco_label_type_id is not null and gf_vehicle_eco_label_type_id != '';['MASTERSCHEMA.CATALOG_TABLE_2'];;CATALOG_COLUMN_2;CATALOG_CODE_2;27b99236d7;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;Distinto de Null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_2
27dd456269;{'gf_heating_transmitter_type'};t_kpan_home_partner_oppy;;['MASTERSCHEMA.CATALOG_TABLE_1'];;CATALOG_COLUMN_1;CATALOG_CODE_1;27dd456269;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_1: Columna del catálogo local 
CATALOG_CODE_1: Filtrado del catálogo local
CATALOG_TABLE_1: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_1
27dd4562e4;{'gf_heating_system_type'};t_kpan_home_partner_oppy;;['MASTERSCHEMA.CATALOG_TABLE_2'];;CATALOG_COLUMN_2;CATALOG_CODE_2;27dd4562e4;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_2: Columna del catálogo local 
CATALOG_CODE_2: Filtrado del catálogo local
CATALOG_TABLE_2: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_2
27dd45636f;{'gf_climatic_zone_type'};t_kpan_home_partner_oppy;;['MASTERSCHEMA.CATALOG_TABLE_3'];;CATALOG_COLUMN_3;CATALOG_CODE_3;27dd45636f;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_3: Columna del catálogo local 
CATALOG_CODE_3: Filtrado del catálogo local
CATALOG_TABLE_3: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_3
27dd456c31;{'gf_building_construction_type'};t_kpan_home_partner_oppy;;['MASTERSCHEMA.CATALOG_TABLE_4'];;CATALOG_COLUMN_4;CATALOG_CODE_4;27dd456c31;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_4: Columna del catálogo local 
CATALOG_CODE_4: Filtrado del catálogo local
CATALOG_TABLE_4: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_4
2803fd22c0;{'gf_cancellation_price_type'};t_kpan_mgr_comm_opportunity;gf_cancellation_price_type is not null and gf_cancellation_price_type != '';['MASTERSCHEMA.CATALOG_TABLE_0'];;CATALOG_COLUMN_0;CATALOG_CODE_0;2803fd22c0;LOCAL: La definición del catálogo a usar dependerá del equipo de Gobierno local;Daily;Distinto de null o vacío;2Q24;Jul_2024;FINISHED;DELIVERED;"CUTOFF_DATE: Date of the data
CATALOG_COLUMN_0: Columna del catálogo local 
CATALOG_CODE_0: Filtrado del catálogo local
CATALOG_TABLE_0: Nombre de tabla local";MASTERSCHEMA.CATALOG_TABLE_0
