uuaa,job,conf,run_id,status,CUTOFF_DATE,configUrl,run_createdAt,status_updatedAt,run_createdBy,id_ns
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,cad0a92c-9d3a-492e-9656-9e1210de22ce,SUCCESS,2023-12-25,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-26 00:30:07.245000+00:00,2023-12-26,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,64739d91-f169-466c-9340-0e873bd5ce83,SUCCESS,2023-12-24,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-25 00:33:14.596000+00:00,2023-12-25,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,1af7901b-ff39-4c60-b975-b785e6be075a,SUCCESS,2023-12-23,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-24 00:30:55.261000+00:00,2023-12-24,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,7b4f1a26-801c-487d-a949-c8b00e7c87e0,SUCCESS,2023-12-22,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-23 00:38:36.673000+00:00,2023-12-23,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,58a47663-abf8-4ade-981f-d30d8f8c5749,SUCCESS,2023-12-21,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-22 00:36:39.884000+00:00,2023-12-22,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,5238aaa1-3303-495d-b0e4-4054891ef37c,SUCCESS,2023-12-20,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-21 00:48:05.909000+00:00,2023-12-21,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,8badb4b2-3800-45c5-8cf7-14dd1a8bef0b,SUCCESS,2023-12-19,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-20 00:35:24.287000+00:00,2023-12-20,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,5eea32b8-4864-4cb0-846a-237bf88cbdfa,SUCCESS,2023-12-18,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-19 03:14:22.947000+00:00,2023-12-19,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,511cb91b-b0b8-4485-9d6d-c34a8175e64b,SUCCESS,2023-12-17,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-18 00:33:18.223000+00:00,2023-12-18,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,1bff0bcc-f84d-490e-b58a-c75fd14ea3c5,SUCCESS,2023-12-16,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2023-12-17 00:32:31.922000+00:00,2023-12-17,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro
