,uuaa,job,conf,run_id,status,CUTOFF_DATE,configUrl,run_createdAt,status_updatedAt,run_createdBy,id_ns
0,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,33b8639a-0739-43d5-a5ee-06ab5a58e066,SUCCESS,2023-11-30,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-12-01T20:24:42.189Z,2023-12-01T20:26:39.265Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
1,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,b112c2b5-e6ad-49f9-8e55-6ebabb57fa2d,SUCCESS,2023-10-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-11-10T14:21:45.688Z,2023-11-10T15:39:40.055Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
2,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,c7c9f9c8-d461-4543-b105-b9967d0542a6,SUCCESS,2023-10-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-11-01T15:29:46.487Z,2023-11-01T15:32:04.663Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
3,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,a02307b1-93db-4d82-b5b6-914ff21588e8,SUCCESS,2023-09-30,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-10-03T08:53:05.081Z,2023-10-03T09:33:49.197Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
4,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,8dd9449f-9b55-4884-b465-803ac4c86565,SUCCESS,2022-10-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-09-21T16:52:42.993Z,2023-09-21T17:08:33.770Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
5,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,34fde71f-f819-4db6-b5f2-90e075def960,SUCCESS,2023-08-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-09-01T14:32:50.675Z,2023-09-01T14:38:47.398Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
6,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,7b5fb1ad-1852-4bff-9d9e-0050a01991a9,SUCCESS,2023-07-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-08-02T13:07:44.595Z,2023-08-02T13:46:15.201Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
7,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,1c21d937-9373-48a6-9d39-c894bde94cde,SUCCESS,2023-06-30,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-07-04T09:05:11.016Z,2023-07-04T10:51:57.890Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
8,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,131a9f94-675b-46f6-977f-1e82ed404846,SUCCESS,2023-05-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-06-06T09:01:11.206Z,2023-06-06T10:27:00.902Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
9,b0hn,b0hn-gl-spk-qlt-inmgrpmarkmrobject-01,B0HN_sust-group-mark_MRObject.conf,15272a1a-fbbc-412d-8065-b619216b5512,SUCCESS,2023-04-30,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/9.0.0/entregable_hammurabi/B0HN/B0HN_sust-group-mark_MRObject.conf,2023-05-26T14:13:17.585Z,2023-05-26T14:25:59.350Z,SENTRY-BOT@DATAPROC.ECS,gl.b0hn.app-id-23103.pro
