uuaa,job,conf,run_id,status,CUTOFF_DATE,configUrl,run_createdAt,status_updatedAt,run_createdBy,id_ns,fecha_actualizacion
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,317b4c3f-0d4c-4510-99f8-2c64c9592d3f,SUCCESS,2024-02-06,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-07 00:33:47.845000+00:00,2024-02-07,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,b04e72a5-0558-4a10-be89-37c319bb4695,SUCCESS,2024-02-05,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-06 00:48:18.520000+00:00,2024-02-06,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,5105ea30-e0a7-409e-b61d-eec3bdcbf02d,SUCCESS,2024-02-04,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-05 00:32:39.190000+00:00,2024-02-05,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,f5af437f-ff7f-47d8-87c8-3462658ad27e,SUCCESS,2024-02-03,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-04 01:03:41.654000+00:00,2024-02-04,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,bdaac222-6983-4a44-884f-a335fc6efe24,SUCCESS,2024-02-02,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-03 00:34:04.010000+00:00,2024-02-03,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,6f9c26d6-1fe3-413f-b41e-e01d1783fc0b,SUCCESS,2024-02-01,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-02 01:17:24.787000+00:00,2024-02-02,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,1e735eba-5d0e-461b-b4eb-8ed453ca6b34,SUCCESS,2024-01-31,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-02-01 00:38:20.405000+00:00,2024-02-01,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,a4f60a0b-cfe0-4e2e-b732-247478209707,SUCCESS,2024-01-30,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-31 00:33:27.283000+00:00,2024-01-31,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,f4dd7301-a726-4bd7-a5a7-757371076873,SUCCESS,2024-01-29,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-30 00:39:44.096000+00:00,2024-01-30,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,ebfd50a5-6208-4fb7-a0d3-3874e316100c,SUCCESS,2024-01-28,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-29 00:31:41.882000+00:00,2024-01-29,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,1e696dc1-9d40-4d86-9bfd-e9de24900d55,SUCCESS,2024-01-27,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-28 00:43:30.678000+00:00,2024-01-28,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,c525136d-21a3-4d63-bbee-2e41c1543009,SUCCESS,2024-01-26,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-27 00:39:33.984000+00:00,2024-01-27,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,e7fc0c72-1b34-4d5d-a921-a620c4dbf696,SUCCESS,2024-01-25,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-26 00:35:12.773000+00:00,2024-01-26,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,756bea3c-129f-45af-a03e-09473573704a,SUCCESS,2024-01-24,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-25 00:47:28.234000+00:00,2024-01-25,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,acf32c8c-3da9-406f-b206-a8c6d1bf1c7f,SUCCESS,2024-01-23,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-24 00:38:06.637000+00:00,2024-01-24,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,6dfa1cb0-2fad-4aa0-b83c-f2754046ca14,SUCCESS,2024-01-22,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-23 00:37:00.595000+00:00,2024-01-23,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,b53e3bda-cc6d-4fad-9617-e1ffb87c253d,SUCCESS,2024-01-21,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-22 00:40:08.474000+00:00,2024-01-22,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,99364a60-4ada-45cc-8ca4-8c67b853ff48,SUCCESS,2024-01-20,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-21 00:39:33.579000+00:00,2024-01-21,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,28e6a2ea-9bdd-4a20-a4f0-c5107aa7088e,SUCCESS,2024-01-19,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-20 00:34:13.704000+00:00,2024-01-20,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
scat,scat-gl-qlt-inmmvpsustmaster-01,SCAT_sustainability-master_MRField.conf,140c687a-e68a-4c5d-ac48-09b36af3aca8,SUCCESS,2024-01-18,https://artifactory-gdt.central-01.nextgen.igrupobbva/artifactory/gl-datio-spark-libs-maven-local/com/datiobd/c360-hammurabi/10.0.4/entregable_hammurabi/SCAT/SCAT_sustainability-master_MRField.conf,2024-01-19 00:34:13.107000+00:00,2024-01-19,SENTRY-BOT@DATAPROC.ECS,gl.scat.app-id-1302468.pro,2024-02-07
